INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_902,ur.0673010512.98,,,Jordan,MONNET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0673010512.98,,
inca_904,ur.0732370777.35,,,Philippe,MOREAU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0732370777.35,,
inca_906,ur.01000234445.08,,,Laurent,MOREL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01000234445.08,,
inca_907,ur.013642154543.68,,,Christian,MOREL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.013642154543.68,,
inca_908,ur.0661525630.12,,,Pierre,MOREL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0661525630.12,,
inca_909,ur.01067660742.62,,,Christophe,MORELL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01067660742.62,,
inca_910,ur.01354536347.07,,,Xavier,MORIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01354536347.07,,
inca_911,ur.0656547637.25,,,Jean-François,MOSNIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0656547637.25,,
inca_912,ur.01346366101.45,,,Nicolas,MOTTET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01346366101.45,,
inca_914,ur.01035460544.59,,,François,MOUAWAD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01035460544.59,,
inca_915,ur.01341761563.13,,,Christiane,MOUGIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01341761563.13,,
inca_916,ur.0634766027.00,,,Loïc,MOUREY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0634766027.00,,
inca_918,ur.01302136501.10,,,Frédéric,MOURIAUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01302136501.10,,
inca_919,ur.0601253364.64,,,Vincent,MOUTARDIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0601253364.64,,
inca_920,ur.01322456516.31,,,Bertrand,NADEL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01322456516.31,,
inca_922,ur.01215361737.15,,,Pierre,NAHON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01215361737.15,,
inca_923,ur.01356600641.06,,,Philippe,NAQUET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01356600641.06,,
inca_924,ur.01340716020.46,,,Fabrice,NARDUCCI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01340716020.46,,
inca_925,ur.0672050461.38,,,Pierre,NASSOY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0672050461.38,,
inca_926,ur.01070203170.76,,,Jean-Charles,NAULT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01070203170.76,,
inca_927,ur.0611446767.44,ur.01124002067.84,,Jean,NAVARRO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0611446767.44,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01124002067.84,
inca_928,ur.0723756046.31,,,Sylvie,NEGRIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0723756046.31,,
inca_929,ur.01357053337.31,,,Michel,NEUNLIST,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01357053337.31,,
